code_rome,libelle
K1306,Auxiliaire de Vie Sociale (AVS)
F1205,Responsable de travaux BTP
K1310,Assistant maternel agréé / Assistante maternelle agréée
K1406,Secrétaire de mairie
K2113,Accompagnant / Accompagnante des élèves en situation de handicap (AESH)
K2403,Biostatisticien / Biostatisticienne
K2504,Agent / Agente de sécurité événementielle
B1605,Bijoutier / Bijoutière
B1607,Lapidaire / Diamantaire
G1216,Moniteur / Monitrice de sport nature
G1217,Moniteur / Monitrice en salle de sport
B1608,Opérateur / Opératrice en bijouterie
H3405,Polisseur / Polisseuse en bijouterie ou joaillerie ou orfèvrerie
H3406,Opérateur / Opératrice en polissage de bijouterie ou d'orfèvrerie
C1112,Agent général / Agente générale d'assurance
G1218,Préparateur / Préparatrice physique
B1609,Responsable d'atelier en bijouterie ou joaillerie
B1610,Sertisseur / Sertisseuse en bijouterie ou joaillerie
B1611,Trieur / Trieuse de pierres et perles
G1215,Educateur sportif / Educatrice sportive Santé
B1606,Joaillier / Joaillière
K2116,Responsable d'unité d'enseignement de la conduite de véhicule
M1822,Ingénieur / Ingénieure systèmes et réseaux informatiques
G1809,Barista
F1122,Ingénieur / Ingénieure Chantier nucléaire
I1204,Agent / Agente d'entretien des piscines
H2418,Opérateur / Opératrice sur machine de production et transformation des fils
L1205,Artiste-interprète
B1304,Artisan démonstrateur / Artisane démonstratrice
K1605,Commissaire d'exposition
I1613,Mécanicien / Mécanicienne des véhicules des transports routiers
A1207,Chef / Cheffe d'équipe d'entretien d'espaces naturels
A1208,Jardinier / Jardinière paysagiste
H2419,Passementier / Passementière en industrie textile
K2505,Enquêteur privé / Enquêtrice privée
N1205,Responsable de service transit
K2404,Chargé / Chargée de recherche
M1708,Directeur / Directrice de l'accès au marché
M1709,Chef / Cheffe de gamme
D1411,Responsable Efficacité Commerciale (SFE)
G1220,Educateur sportif / Educatrice sportive spécialisé(e) en activités physiques et sportives adaptées
H1213,Responsable du développement clinique
I1311,Technicien / Technicienne installation réseaux câblés fibre optique
H1510,Technicien / Technicienne de laboratoire de contrôle
H1214,Agent / Agente de laboratoire de recherche industrielle
H1212,Ingénieur / Ingénieure brevet en industrie
H1215,"Bioinformaticien / Bioinformaticienne en études, recherche et développement"
M1610,Intendant / Intendante du sport
G1219,Recruteur sportif / Recruteuse sportive
L1402,Arbitre professionnel / Professionnelle de discipline sportive
M1711,Directeur / Directrice du marketing
H1511,Chargé / Chargée de validation-qualification
H1216,Responsable des études épidémiologiques
H1217,Technicien / Technicienne formulation
M1406,Responsable RSE - Responsabilité Sociétale de l'Entreprise
M1504,Responsable formation professionnelle en entreprise
K2114,Formateur / Formatrice qualité
K1709,Commissaire de police
M1505,Chargé / Chargée de formation en entreprise
K1603,Bibliothécaire
N1106,Agent / Agente de quai manutentionnaire
J1106,Responsable médical / Responsable médicale en région (RMR-MSL)
M1710,Responsable régional / Responsable régionale des relations scientifiques médicales
H1512,Directeur / Directrice de zone
M1408,Responsable des études pharmaco-économiques
K1311,Assistant / Assistante de vie aux familles
K1312,Accueillant familial / Accueillante familiale thérapeutique auprès d'adultes
H1509,Responsable des affaires règlementaires
M1712,Directeur / Directrice de l'information promotionnelle du médicament
A1423,Œnologue
H1218,Responsable de projet recherche et développement
M1407,Responsable de la veille scientifique et technique
H1220,Responsable formulation
H1104,Directeur / Directrice des affaires médicales pharmaceutiques
H1222,Responsable médical / Responsable médicale des études cliniques
K1407,Directeur / Directrice d'établissement médicosocial
K1408,Responsable de secteur d'aide à domicile
K1409,Responsable de structure sanitaire et sociale
J1509,Responsable de secteur coordinateur / Responsable de secteur coordinatrice
J1508,Infirmier / Infirmière en Pratique Avancée (IPA)
D1412,Délégué médical hospitalier / Déléguée médicale hospitalière
J1510,Infirmier coordinateur / Infirmière coordinatrice (IDEC)
G1609,Cuisinier / Cuisinière
